0,"POLYGON ((37.66622906229949 55.878803809557446, 37.66622906229949 55.88106473888984, 37.67023262195354 55.88106473888984, 37.67023262195354 55.878803809557446, 37.66622906229949 55.878803809557446))",0.0
1,"POLYGON ((37.66622906229949 55.88106473888984, 37.66622906229949 55.883325668222234, 37.67023262195354 55.883325668222234, 37.67023262195354 55.88106473888984, 37.66622906229949 55.88106473888984))",0.0
2,"POLYGON ((37.66622906229949 55.883325668222234, 37.66622906229949 55.88558659755463, 37.67023262195354 55.88558659755463, 37.67023262195354 55.883325668222234, 37.66622906229949 55.883325668222234))",0.0
3,"POLYGON ((37.66622906229949 55.88558659755463, 37.66622906229949 55.88784752688702, 37.67023262195354 55.88784752688702, 37.67023262195354 55.88558659755463, 37.66622906229949 55.88558659755463))",0.0
4,"POLYGON ((37.66622906229949 55.887847526887015, 37.66622906229949 55.89010845621941, 37.67023262195354 55.89010845621941, 37.67023262195354 55.887847526887015, 37.66622906229949 55.887847526887015))",0.0
5,"POLYGON ((37.66622906229949 55.89010845621941, 37.66622906229949 55.8923693855518, 37.67023262195354 55.8923693855518, 37.67023262195354 55.89010845621941, 37.66622906229949 55.89010845621941))",0.0
6,"POLYGON ((37.66622906229949 55.8923693855518, 37.66622906229949 55.894630314884196, 37.67023262195354 55.894630314884196, 37.67023262195354 55.8923693855518, 37.66622906229949 55.8923693855518))",0.0
7,"POLYGON ((37.66622906229949 55.894630314884196, 37.66622906229949 55.89689124421659, 37.67023262195354 55.89689124421659, 37.67023262195354 55.894630314884196, 37.66622906229949 55.894630314884196))",0.0
8,"POLYGON ((37.66622906229949 55.89689124421659, 37.66622906229949 55.899152173548984, 37.67023262195354 55.899152173548984, 37.67023262195354 55.89689124421659, 37.66622906229949 55.89689124421659))",0.0
9,"POLYGON ((37.66622906229949 55.899152173548984, 37.66622906229949 55.90141310288138, 37.67023262195354 55.90141310288138, 37.67023262195354 55.899152173548984, 37.66622906229949 55.899152173548984))",0.0
10,"POLYGON ((37.66622906229949 55.90141310288137, 37.66622906229949 55.903674032213765, 37.67023262195354 55.903674032213765, 37.67023262195354 55.90141310288137, 37.66622906229949 55.90141310288137))",0.0
11,"POLYGON ((37.66622906229949 55.903674032213765, 37.66622906229949 55.90593496154616, 37.67023262195354 55.90593496154616, 37.67023262195354 55.903674032213765, 37.66622906229949 55.903674032213765))",0.0
12,"POLYGON ((37.66622906229949 55.90593496154616, 37.66622906229949 55.90819589087855, 37.67023262195354 55.90819589087855, 37.67023262195354 55.90593496154616, 37.66622906229949 55.90593496154616))",0.0
13,"POLYGON ((37.66622906229949 55.90819589087855, 37.66622906229949 55.910456820210946, 37.67023262195354 55.910456820210946, 37.67023262195354 55.90819589087855, 37.66622906229949 55.90819589087855))",0.0
14,"POLYGON ((37.66622906229949 55.910456820210946, 37.66622906229949 55.91271774954334, 37.67023262195354 55.91271774954334, 37.67023262195354 55.910456820210946, 37.66622906229949 55.910456820210946))",0.0019798713083649566
15,"POLYGON ((37.66622906229949 55.91271774954334, 37.66622906229949 55.914978678875734, 37.67023262195354 55.914978678875734, 37.67023262195354 55.91271774954334, 37.66622906229949 55.91271774954334))",0.0
16,"POLYGON ((37.66622906229949 55.914978678875734, 37.66622906229949 55.91723960820813, 37.67023262195354 55.91723960820813, 37.67023262195354 55.914978678875734, 37.66622906229949 55.914978678875734))",0.02994967827091239
17,"POLYGON ((37.66622906229949 55.91723960820812, 37.66622906229949 55.919500537540515, 37.67023262195354 55.919500537540515, 37.67023262195354 55.91723960820812, 37.66622906229949 55.91723960820812))",0.0
18,"POLYGON ((37.66622906229949 55.919500537540515, 37.66622906229949 55.92176146687291, 37.67023262195354 55.92176146687291, 37.67023262195354 55.919500537540515, 37.66622906229949 55.919500537540515))",0.0
19,"POLYGON ((37.66622906229949 55.92176146687291, 37.66622906229949 55.9240223962053, 37.67023262195354 55.9240223962053, 37.67023262195354 55.92176146687291, 37.66622906229949 55.92176146687291))",0.0
20,"POLYGON ((37.66622906229949 55.9240223962053, 37.66622906229949 55.926283325537696, 37.67023262195354 55.926283325537696, 37.67023262195354 55.9240223962053, 37.66622906229949 55.9240223962053))",0.0
21,"POLYGON ((37.66622906229949 55.926283325537696, 37.66622906229949 55.92854425487009, 37.67023262195354 55.92854425487009, 37.67023262195354 55.926283325537696, 37.66622906229949 55.926283325537696))",0.0
22,"POLYGON ((37.66622906229949 55.92854425487009, 37.66622906229949 55.930805184202484, 37.67023262195354 55.930805184202484, 37.67023262195354 55.92854425487009, 37.66622906229949 55.92854425487009))",0.016666666666666666
23,"POLYGON ((37.66622906229949 55.930805184202484, 37.66622906229949 55.93306611353488, 37.67023262195354 55.93306611353488, 37.67023262195354 55.930805184202484, 37.66622906229949 55.930805184202484))",0.0
24,"POLYGON ((37.66622906229949 55.93306611353487, 37.66622906229949 55.935327042867264, 37.67023262195354 55.935327042867264, 37.67023262195354 55.93306611353487, 37.66622906229949 55.93306611353487))",0.0
25,"POLYGON ((37.66622906229949 55.935327042867264, 37.66622906229949 55.93758797219966, 37.67023262195354 55.93758797219966, 37.67023262195354 55.935327042867264, 37.66622906229949 55.935327042867264))",0.0
26,"POLYGON ((37.66622906229949 55.93758797219966, 37.66622906229949 55.93984890153205, 37.67023262195354 55.93984890153205, 37.67023262195354 55.93758797219966, 37.66622906229949 55.93758797219966))",0.0
27,"POLYGON ((37.66622906229949 55.93984890153205, 37.66622906229949 55.942109830864446, 37.67023262195354 55.942109830864446, 37.67023262195354 55.93984890153205, 37.66622906229949 55.93984890153205))",0.0
